nm, %T
614.300000, 35.639216
614.000000, 35.633064
613.700000, 35.633334
613.400000, 35.635946
613.100000, 35.640207
612.800000, 35.622048
612.500000, 35.591285
612.200000, 35.601315
611.900000, 35.623803
611.600000, 35.643568
611.300000, 35.657551
611.000000, 35.664508
610.700000, 35.684253
610.400000, 35.703483
610.100000, 35.714671
609.800000, 35.680371
609.500000, 35.646280
609.200000, 35.655847
608.900000, 35.689106
608.600000, 35.725285
608.300000, 35.777066
608.000000, 35.811235
607.700000, 35.790966
607.400000, 35.757064
607.100000, 35.757571
606.800000, 35.751118
606.500000, 35.757510
606.200000, 35.763293
605.900000, 35.742242
605.600000, 35.750856
605.300000, 35.762000
605.000000, 35.765471
604.700000, 35.776653
604.400000, 35.776599
604.100000, 35.765059
603.800000, 35.753816
603.500000, 35.751698
603.200000, 35.733304
602.900000, 35.743874
602.600000, 35.755143
602.300000, 35.760583
602.000000, 35.773990
601.700000, 35.781578
601.400000, 35.769913
601.100000, 35.758333
600.800000, 35.772749
600.500000, 35.794749
600.200000, 35.801995
599.900000, 35.821802
599.600000, 35.805208
599.300000, 35.780021
599.000000, 35.758373
598.700000, 35.763787
598.400000, 35.784839
598.100000, 35.806860
597.800000, 35.819337
597.500000, 35.842078
597.200000, 35.846967
596.900000, 35.840488
596.600000, 35.831890
596.300000, 35.820174
596.000000, 35.817282
595.700000, 35.849492
595.400000, 35.880579
595.100000, 35.902601
594.800000, 35.918118
594.500000, 35.921437
594.200000, 35.922564
593.900000, 35.902482
593.600000, 35.895348
593.300000, 35.867367
593.000000, 35.869556
592.700000, 35.886754
592.400000, 35.884590
592.100000, 35.887789
591.800000, 35.915305
591.500000, 35.920640
591.200000, 35.908546
590.900000, 35.921371
590.600000, 35.927067
590.300000, 35.923294
590.000000, 35.921514
589.700000, 35.943886
589.400000, 35.967584
589.100000, 35.981197
588.800000, 35.983020
588.500000, 35.980708
588.200000, 35.966447
587.900000, 35.959949
587.600000, 35.946697
587.300000, 35.938078
587.000000, 35.932217
586.700000, 35.906127
586.400000, 35.927333
586.100000, 35.931947
585.800000, 35.939943
585.500000, 35.972350
585.200000, 35.960551
584.900000, 35.973532
584.600000, 36.005201
584.300000, 35.978572
584.000000, 35.958175
583.700000, 35.970999
583.400000, 35.964814
583.100000, 35.996083
582.800000, 36.031089
582.500000, 36.042825
582.200000, 36.056472
581.900000, 36.048778
581.600000, 36.055647
581.300000, 36.034115
581.000000, 36.022468
580.700000, 36.045970
580.400000, 36.047481
580.100000, 36.065371
579.800000, 36.089061
579.500000, 36.085338
579.200000, 36.123304
578.900000, 36.132373
578.600000, 36.121545
578.300000, 36.083090
578.000000, 36.044481
577.700000, 36.035464
577.400000, 36.012979
577.100000, 36.017119
576.800000, 36.027330
576.500000, 36.069216
576.200000, 36.057043
575.900000, 36.050598
575.600000, 36.047682
575.300000, 36.046799
575.000000, 36.072163
574.700000, 36.062761
574.400000, 36.057931
574.100000, 36.084382
573.800000, 36.089379
573.500000, 36.093632
573.200000, 36.102094
572.900000, 36.103209
572.600000, 36.089604
572.300000, 36.061290
572.000000, 36.065964
571.700000, 36.088799
571.400000, 36.085212
571.100000, 36.103439
570.800000, 36.113118
570.500000, 36.116418
570.200000, 36.120515
569.900000, 36.144166
569.600000, 36.148315
569.300000, 36.169562
569.000000, 36.218431
568.700000, 36.214552
568.400000, 36.211433
568.100000, 36.192882
567.800000, 36.195043
567.500000, 36.202327
567.200000, 36.183372
566.900000, 36.171812
566.600000, 36.188465
566.300000, 36.217942
566.000000, 36.235675
565.700000, 36.241584
565.400000, 36.236287
565.100000, 36.263598
564.800000, 36.285426
564.500000, 36.288039
564.200000, 36.302556
563.900000, 36.289416
563.600000, 36.268749
563.300000, 36.287849
563.000000, 36.291164
562.700000, 36.295353
562.400000, 36.205284
562.100000, 36.182291
561.800000, 36.191423
561.500000, 36.206794
561.200000, 36.175468
560.900000, 36.188083
560.600000, 36.184011
560.300000, 36.250245
560.000000, 36.264149
559.700000, 36.251430
559.400000, 36.240237
559.100000, 36.226106
558.800000, 36.234976
558.500000, 36.249967
558.200000, 36.258090
557.900000, 36.276479
557.600000, 36.323333
557.300000, 36.308592
557.000000, 36.296326
556.700000, 36.318391
556.400000, 36.360323
556.100000, 36.356298
555.800000, 36.323008
555.500000, 36.335168
555.200000, 36.330552
554.900000, 36.360109
554.600000, 36.392715
554.300000, 36.401651
554.000000, 36.356933
553.700000, 36.347256
553.400000, 36.277154
553.100000, 36.328991
552.800000, 36.319775
552.500000, 36.375720
552.200000, 36.398600
551.900000, 36.378799
551.600000, 36.400369
551.300000, 36.357295
551.000000, 36.372096
550.700000, 36.357616
550.400000, 36.367102
550.100000, 36.367843
549.800000, 36.370203
549.500000, 36.370931
549.200000, 36.380665
548.900000, 36.421546
548.600000, 36.422933
548.300000, 36.439702
548.000000, 36.419326
547.700000, 36.462331
547.400000, 36.476952
547.100000, 36.512933
546.800000, 36.511870
546.500000, 36.525047
546.200000, 36.498149
545.900000, 36.488123
545.600000, 36.512233
545.300000, 36.519309
545.000000, 36.498092
544.700000, 36.486685
544.400000, 36.510816
544.100000, 36.494376
543.800000, 36.446531
543.500000, 36.474061
543.200000, 36.503078
542.900000, 36.516420
542.600000, 36.491235
542.300000, 36.463756
542.000000, 36.444478
541.700000, 36.427402
541.400000, 36.422080
541.100000, 36.424776
540.800000, 36.437786
540.500000, 36.446489
540.200000, 36.464162
539.900000, 36.448178
539.600000, 36.460928
539.300000, 36.472575
539.000000, 36.486536
538.700000, 36.482239
538.400000, 36.512107
538.100000, 36.531604
537.800000, 36.517509
537.500000, 36.499344
537.200000, 36.473149
536.900000, 36.461714
536.600000, 36.491495
536.300000, 36.506533
536.000000, 36.523664
535.700000, 36.528549
535.400000, 36.558293
535.100000, 36.550300
534.800000, 36.526866
534.500000, 36.506122
534.200000, 36.499423
533.900000, 36.524316
533.600000, 36.552992
533.300000, 36.545886
533.000000, 36.553421
532.700000, 36.559826
532.400000, 36.550294
532.100000, 36.530692
531.800000, 36.528404
531.500000, 36.556463
531.200000, 36.564591
530.900000, 36.580091
530.600000, 36.565921
530.300000, 36.564670
530.000000, 36.549820
529.700000, 36.550574
529.400000, 36.563739
529.100000, 36.554647
528.800000, 36.574038
528.500000, 36.617078
528.200000, 36.614022
527.900000, 36.635424
527.600000, 36.622437
527.300000, 36.607708
527.000000, 36.614333
526.700000, 36.590279
526.400000, 36.570269
526.100000, 36.557379
525.800000, 36.545211
525.500000, 36.577744
525.200000, 36.610762
524.900000, 36.602950
524.600000, 36.581638
524.300000, 36.577487
524.000000, 36.570392
523.700000, 36.571434
523.400000, 36.569450
523.100000, 36.545806
522.800000, 36.494988
522.500000, 36.456567
522.200000, 36.442605
521.900000, 36.462968
521.600000, 36.475751
521.300000, 36.502937
521.000000, 36.511609
520.700000, 36.485809
520.400000, 36.459170
520.100000, 36.472803
519.800000, 36.447933
519.500000, 36.442896
519.200000, 36.459747
518.900000, 36.457570
518.600000, 36.445043
518.300000, 36.453272
518.000000, 36.465798
517.700000, 36.434639
517.400000, 36.415191
517.100000, 36.392965
516.800000, 36.398527
516.500000, 36.394449
516.200000, 36.384682
515.900000, 36.372681
515.600000, 36.355142
515.300000, 36.362530
515.000000, 36.362422
514.700000, 36.339005
514.400000, 36.323187
514.100000, 36.303918
513.800000, 36.272002
513.500000, 36.247987
513.200000, 36.262992
512.900000, 36.262488
512.600000, 36.237495
512.300000, 36.203992
512.000000, 36.197796
511.700000, 36.203719
511.400000, 36.179438
511.100000, 36.175045
510.800000, 36.166777
510.500000, 36.139088
510.200000, 36.134784
509.900000, 36.129629
509.600000, 36.085487
509.300000, 36.040174
509.000000, 36.023734
508.700000, 36.043431
508.400000, 36.078799
508.100000, 36.071011
507.800000, 36.022099
507.500000, 36.024558
507.200000, 36.052595
506.900000, 36.079122
506.600000, 36.073853
506.300000, 36.061124
506.000000, 36.054399
505.700000, 36.041759
505.400000, 36.026887
505.100000, 36.011152
504.800000, 36.003717
504.500000, 36.009862
504.200000, 36.007467
503.900000, 35.982161
503.600000, 35.986393
503.300000, 36.020539
503.000000, 36.033839
502.700000, 35.993893
502.400000, 35.990380
502.100000, 36.006993
501.800000, 36.009657
501.500000, 35.994755
501.200000, 35.968595
500.900000, 35.950344
500.600000, 35.965738
500.300000, 35.998192
500.000000, 36.006839
499.700000, 36.001937
499.400000, 36.023991
499.100000, 36.032768
498.800000, 36.032438
498.500000, 36.017437
498.200000, 36.011674
497.900000, 36.056771
497.600000, 36.078096
497.300000, 36.076315
497.000000, 36.085594
496.700000, 36.083663
496.400000, 36.083725
496.100000, 36.072773
495.800000, 36.055923
495.500000, 36.037151
495.200000, 36.033894
494.900000, 36.059235
494.600000, 36.060623
494.300000, 36.014176
494.000000, 35.992817
493.700000, 35.997390
493.400000, 36.016073
493.100000, 36.032004
492.800000, 36.050227
492.500000, 36.070939
492.200000, 36.073194
491.900000, 36.058483
491.600000, 36.051275
491.300000, 36.052344
491.000000, 36.013596
490.700000, 35.978130
490.400000, 35.990690
490.100000, 36.012027
489.800000, 36.036528
489.500000, 36.062775
489.200000, 36.087336
488.900000, 36.079229
488.600000, 36.052830
488.300000, 36.043337
488.000000, 36.047945
487.700000, 36.053801
487.400000, 36.043132
487.100000, 36.064846
486.800000, 36.109854
486.500000, 36.138379
486.200000, 36.151145
485.900000, 36.153740
485.600000, 36.152554
485.300000, 36.124465
485.000000, 36.096968
484.700000, 36.071852
484.400000, 36.058269
484.100000, 36.042005
483.800000, 36.010892
483.500000, 35.986252
483.200000, 35.953912
482.900000, 35.927540
482.600000, 35.884242
482.300000, 35.851224
482.000000, 35.854258
481.700000, 35.863130
481.400000, 35.870042
481.100000, 35.903720
480.800000, 35.949607
480.500000, 35.984486
480.200000, 35.987076
479.900000, 35.980457
479.600000, 35.991237
479.300000, 36.048489
479.000000, 36.110437
478.700000, 36.176826
478.400000, 36.203556
478.100000, 36.204976
477.800000, 36.189771
477.500000, 36.199027
477.200000, 36.218802
476.900000, 36.242723
476.600000, 36.250240
476.300000, 36.218303
476.000000, 36.215036
475.700000, 36.223599
475.400000, 36.197297
475.100000, 36.150011
474.800000, 36.140313
474.500000, 36.145794
474.200000, 36.135693
473.900000, 36.138900
473.600000, 36.124958
473.300000, 36.105473
473.000000, 36.094659
472.700000, 36.079029
472.400000, 36.063074
472.100000, 36.059023
471.800000, 36.060968
471.500000, 36.069664
471.200000, 36.045279
470.900000, 36.033499
470.600000, 36.016076
470.300000, 35.996408
470.000000, 36.023577
469.700000, 36.057895
469.400000, 36.083930
469.100000, 36.080074
468.800000, 36.060057
468.500000, 36.053911
468.200000, 36.060112
467.900000, 36.070065
467.600000, 36.089905
467.300000, 36.111235
467.000000, 36.115484
466.700000, 36.115236
466.400000, 36.114534
466.100000, 36.111422
465.800000, 36.117059
465.500000, 36.123301
465.200000, 36.148479
464.900000, 36.156946
464.600000, 36.159973
464.300000, 36.153025
464.000000, 36.146457
463.700000, 36.162346
463.400000, 36.174832
463.100000, 36.190163
462.800000, 36.194316
462.500000, 36.223879
462.200000, 36.258966
461.900000, 36.280016
461.600000, 36.280613
461.300000, 36.280649
461.000000, 36.299375
460.700000, 36.327007
460.400000, 36.351369
460.100000, 36.341753
459.800000, 36.373946
459.500000, 36.371735
459.200000, 36.373774
458.900000, 36.350233
458.600000, 36.342332
458.300000, 36.341829
458.000000, 36.342423
457.700000, 36.339333
457.400000, 36.354765
457.100000, 36.334282
456.800000, 36.307243
456.500000, 36.320193
456.200000, 36.328532
455.900000, 36.301136
455.600000, 36.295882
455.300000, 36.290799
455.000000, 36.293548
454.700000, 36.277979
454.400000, 36.277546
454.100000, 36.316761
453.800000, 36.263590
453.500000, 36.241845
453.200000, 36.266079
452.900000, 36.291824
452.600000, 36.280453
452.300000, 36.273224
452.000000, 36.290023
451.700000, 36.297659
451.400000, 36.262595
451.100000, 36.221118
450.800000, 36.182921
450.500000, 36.150943
450.200000, 36.125785
449.900000, 36.130000
449.600000, 36.114815
449.300000, 36.108109
449.000000, 36.087480
448.700000, 36.066469
448.400000, 36.071886
448.100000, 36.065321
447.800000, 36.082897
447.500000, 36.066585
447.200000, 36.036139
446.900000, 35.996999
446.600000, 36.008072
446.300000, 35.990640
446.000000, 35.957184
445.700000, 35.918016
445.400000, 35.885073
445.100000, 35.843337
444.800000, 35.780524
444.500000, 35.710004
444.200000, 35.667909
443.900000, 35.564479
443.600000, 35.547471
443.300000, 35.618989
443.000000, 35.616503
442.700000, 35.583810
442.400000, 35.597576
442.100000, 35.580666
441.800000, 35.509065
441.500000, 35.478555
441.200000, 35.435883
440.900000, 35.405325
440.600000, 35.358947
440.300000, 35.383329
440.000000, 35.354919
439.700000, 35.336812
439.400000, 35.319261
439.100000, 35.375582
438.800000, 35.314922
438.500000, 35.211765
438.200000, 35.183080
437.900000, 35.191547
437.600000, 35.138624
437.300000, 35.120848
437.000000, 35.032878
436.700000, 35.090449
436.400000, 35.065247
436.100000, 35.016117
435.800000, 34.998162
